n_steps,audit_probability,return_fidelity,expected_score,classical_memory_bound,collective_classical_record_bound,raw_margin_above_classical,systematic_per_branch,null_slack,adjusted_margin,alpha,beta,planned_audit_trials,planned_return_trials,planned_total_trials,planning_feasible
66,0.9359220226993783,0.8160251224602111,0.8759735725797947,0.75,0.8535533905932737,0.1259735725797947,0.005,0.005,0.11597357257979468,0.01,0.1,250,249,499,True
67,0.9350501786539795,0.8135770470928304,0.874313612873405,0.75,0.8535533905932737,0.12431361287340503,0.005,0.005,0.11431361287340502,0.01,0.1,257,257,514,True
68,0.9341800782966715,0.811136315951552,0.8726581971241117,0.75,0.8535533905932737,0.12265819712411175,0.005,0.005,0.11265819712411174,0.01,0.1,264,265,529,True
69,0.9333117181400782,0.8087029070036973,0.8710073125718878,0.75,0.8535533905932737,0.12100731257188779,0.005,0.005,0.11100731257188778,0.01,0.1,272,273,545,True
70,0.932445094703798,0.8062767982826862,0.8693609464932421,0.75,0.8535533905932737,0.11936094649324214,0.005,0.005,0.10936094649324213,0.01,0.1,281,281,562,True
71,0.9315802045143904,0.8038579678878381,0.8677190862011143,0.75,0.8535533905932737,0.11771908620111426,0.005,0.005,0.10771908620111426,0.01,0.1,290,289,579,True
72,0.9307170441053616,0.8014463939841746,0.866081719044768,0.75,0.8535533905932737,0.11608171904476805,0.005,0.005,0.10608171904476804,0.01,0.1,298,299,597,True
73,0.9298556100171509,0.7990420548022221,0.8644488324096865,0.75,0.8535533905932737,0.11444883240968651,0.005,0.005,0.1044488324096865,0.01,0.1,308,308,616,True
74,0.9289958987971165,0.7966449286378154,0.862820413717466,0.75,0.8535533905932737,0.11282041371746598,0.005,0.005,0.10282041371746597,0.01,0.1,318,317,635,True
75,0.9281379069995224,0.7942549938519019,0.8611964504257121,0.75,0.8535533905932737,0.11119645042571213,0.005,0.005,0.10119645042571213,0.01,0.1,328,328,656,True
76,0.9272816311855233,0.7918722288703463,0.8595769300279348,0.75,0.8535533905932737,0.10957693002793478,0.005,0.005,0.09957693002793477,0.01,0.1,338,339,677,True
77,0.9264270679231523,0.7894966121837352,0.8579618400534438,0.75,0.8535533905932737,0.10796184005344378,0.005,0.005,0.09796184005344377,0.01,0.1,350,350,700,True
78,0.925574213787306,0.787128122347184,0.856351168067245,0.75,0.8535533905932737,0.10635116806724498,0.005,0.005,0.09635116806724497,0.01,0.1,362,361,723,True
79,0.9247230653597314,0.7847667379801424,0.8547449016699369,0.75,0.8535533905932737,0.10474490166993689,0.005,0.005,0.09474490166993688,0.01,0.1,374,374,748,True
80,0.9238736192290119,0.782412437766202,0.8531430284976069,0.75,0.8535533905932737,0.10314302849760693,0.005,0.005,0.09314302849760692,0.01,0.1,387,387,774,True
81,0.9230258719905539,0.7800652004529034,0.8515455362217286,0.75,0.8535533905932737,0.10154553622172857,0.005,0.005,0.09154553622172856,0.01,0.1,400,401,801,True
82,0.9221798202465727,0.7777250048515447,0.8499524125490587,0.75,0.8535533905932737,0.09995241254905873,0.005,0.005,0.08995241254905872,0.01,0.1,415,415,830,True
83,0.9213354606060796,0.7753918298369901,0.8483636452215348,0.75,0.8535533905932737,0.09836364522153485,0.005,0.005,0.08836364522153484,0.01,0.1,430,430,860,True
84,0.9204927896848674,0.7730656543474791,0.8467792220161732,0.75,0.8535533905932737,0.09677922201617317,0.005,0.005,0.08677922201617316,0.01,0.1,446,446,892,True
85,0.9196518041054977,0.7707464573844367,0.8451991307449672,0.75,0.8535533905932737,0.09519913074496722,0.005,0.005,0.08519913074496721,0.01,0.1,462,463,925,True
86,0.9188125004972867,0.7684342180122834,0.843623359254785,0.75,0.8535533905932737,0.09362335925478504,0.005,0.005,0.08362335925478503,0.01,0.1,480,480,960,True
87,0.9179748754962922,0.7661289153582465,0.8420518954272693,0.75,0.8535533905932737,0.09205189542726933,0.005,0.005,0.08205189542726932,0.01,0.1,498,499,997,True
88,0.9171389257452995,0.7638305286121717,0.8404847271787357,0.75,0.8535533905932737,0.09048472717873568,0.005,0.005,0.08048472717873567,0.01,0.1,518,518,1036,True
89,0.9163046478938089,0.7615390370263352,0.8389218424600721,0.75,0.8535533905932737,0.08892184246007206,0.005,0.005,0.07892184246007206,0.01,0.1,539,539,1078,True
90,0.9154720385980214,0.7592544199152562,0.8373632292566389,0.75,0.8535533905932737,0.08736322925663886,0.005,0.005,0.07736322925663885,0.01,0.1,561,561,1122,True
91,0.9146410945208253,0.7569766566555105,0.8358088755881679,0.75,0.8535533905932737,0.08580887558816785,0.005,0.005,0.07580887558816785,0.01,0.1,584,584,1168,True
92,0.9138118123317837,0.7547057266855439,0.8342587695086638,0.75,0.8535533905932737,0.08425876950866384,0.005,0.005,0.07425876950866384,0.01,0.1,608,609,1217,True
